,Dataset_ID,SubjectNumber,Subject,Run,Trial,RT,Fixation_Rate,Right_Fixation,Right_nFixation,Unchosen_nFixations,Unchosen_Fixation,Chosen_Fixation,Chosen_nFixations,Left_nFixations,Left_Fixation,Total_Fixation_Duration,Total_nFixations,MoralDiffRmL,MoralDiffLmR,MoralDiff,Consistent_MoralDiff,SupportDifference,supportDiffReAdj,Issue_left,Issue_right,LeftChoice,LeftChoice_num,ProtestView,Support_left,Support_right,supportChosenReAdj,supportUnchosenReAdj,LeftSupportAdj,Moral_left,Moral_right,maxMoral,,unchosenMoral,chosenMoral,consistent,Age,age_z,Gender,gender,Edu,edu,Income,income,Relig,PartyRegistration,PartyRegistration_4_TEXT,PartyAlignment,partyAlignment,PoliticalSocial,PoliticalEcon,PoliticalEngagement,politicalEngagement,JS1,JS2,JS3,JS4,JS5,JS6,JS7,JS8,JS_sum,DUREL1_ORA,DUREL2_NORA,DUREL3_IR1,DUREL4_IR2,DUREL5_IR3,DUREL_sum,unchosenFamiliar,chosenFamiliar,Familiar1,Familiar2,maxMoral_Familiar
11,PMM002-1-3,2,PMM002,1,3,3108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,1,1,1,3,3,Abortion rights,Defund the police,1,1,1,6,3,3,0,3,5,4,5,,4,5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,3,3,3,3
12,PMM002-1-5,2,PMM002,1,5,3120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5,0.5,-0.5,-0.5,6,6,War on Drugs,Mandatory training on sexual consent,0,0,1,0,6,3,-3,-6,4,3.5,4,,4,3.5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,4,3,4,3,4
13,PMM002-1-7,2,PMM002,1,7,2164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.5,1.5,1.5,1.5,6,6,Affirmative action,Bathrooms restricted based on biological sex,1,1,1,6,0,3,-3,6,5,3.5,5,,3.5,5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,4,4,3,4
14,PMM002-1-8,2,PMM002,1,8,2978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5,0.5,0.5,0.5,3,3,Remove police from schools,Defund the police,1,1,1,6,3,3,0,3,4.5,4,4.5,,4,4.5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,4,4,3,4
15,PMM002-2-10,2,PMM002,2,10,2558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,-0.5,-0.5,0.5,1,-1,Raise the minimum wage,Mandatory vaccinations,1,1,1,4,5,3,-3,-1,2,2.5,2.5,,2.5,2,0,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,4,3,3,4,4
16,PMM002-2-11,2,PMM002,2,11,2892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,2,2,2,5,5,Remove public Confederate memorials,Mask mandates,1,1,1,6,1,2,-2,5,4.5,2.5,4.5,,2.5,4.5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,2,4,4,2,4
17,PMM002-2-16,2,PMM002,2,16,2608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-2,-2,-2,4,4,Raise the minimum wage,War on Drugs,1,1,1,4,0,1,3,4,2,4,4,,4,2,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,4,3,3,4,4
18,PMM002-2-2,2,PMM002,2,2,2083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,-1.5,-1.5,1.5,2,-2,Gun-free campus police,Physician-assisted suicide,1,1,1,3,5,0,3,-2,2,3.5,3.5,,3.5,2,0,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,2,2,3,3
19,PMM002-2-21,2,PMM002,2,21,2253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,1,1,1,6,6,Abolishing private prisons,Build southern border wall,1,1,1,6,0,0,-3,6,5,4,5,,4,5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,4,4,3,4
20,PMM002-2-24,2,PMM002,2,24,2369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,-0.5,-0.5,-0.5,3,3,Increased Gun regulations,Defund the police,1,1,1,6,3,3,1,3,3.5,4,4,,4,3.5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,3,3,3,3
21,PMM002-2-3,2,PMM002,2,3,2265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.5,2.5,2.5,2.5,5,5,Abolishing private prisons,Mask mandates,1,1,1,6,1,2,-3,5,5,2.5,5,,2.5,5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,2,4,4,2,4
22,PMM002-2-4,2,PMM002,2,4,2244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5,0.5,-0.5,-0.5,2,2,Mask mandates,Gun-free campus police,0,0,1,1,3,1,3,-2,2.5,2,2.5,,2.5,2,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,2,2,2,2,2
23,PMM002-2-5,2,PMM002,2,5,2482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,1,-1,1,3,-3,Mandatory drug tests for welfare recipients,Gun-free campus police,0,0,1,6,3,1,2,3,3,2,3,,3,2,0,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,2,2,2,2,2
24,PMM002-2-6,2,PMM002,2,6,3937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,-0.5,-0.5,-0.5,5,5,Dorms determined by gender identity,Black Lives Matter,1,1,-1,1,6,3,-2,5,4,4.5,4.5,,4.5,4,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,1,1,3,3
25,PMM002-2-7,2,PMM002,2,7,2758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,-1.5,-1.5,1.5,2,-2,Raise the minimum wage,Student worker unionization,1,1,1,4,6,1,-3,-2,2,3.5,3.5,,3.5,2,0,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,3,3,3,3
26,PMM002-3-11,2,PMM002,3,11,2756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,5,5,Legalization of marijuana,Dorms determined by gender identity,0,0,-1,6,1,3,0,-5,4,4,4,,4,4,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,1,3,1,1
27,PMM002-3-12,2,PMM002,3,12,2806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,-2.5,-2.5,2.5,1,-1,Mandatory vaccinations,Abortion rights,1,1,1,5,6,3,-3,-1,2.5,5,5,,5,2.5,0,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,4,4,3,3
28,PMM002-3-13,2,PMM002,3,13,3361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,1,1,1,6,6,War on Drugs,Mandatory drug tests for welfare recipients,1,1,-1,0,6,3,-3,6,4,3,4,,3,4,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,2,4,4,2,4
29,PMM002-3-14,2,PMM002,3,14,3766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,3,3,Defund the police,Build southern border wall,0,0,-1,3,0,3,-3,-3,4,4,4,,4,4,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,3,3,3,3
30,PMM002-3-15,2,PMM002,3,15,2652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5,0.5,-0.5,-0.5,5,5,Dorms determined by gender identity,Increased Gun regulations,0,0,1,1,6,3,-3,-5,4,3.5,4,,4,3.5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,1,3,1,3,1
31,PMM002-3-16,2,PMM002,3,16,2290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,-1.5,-1.5,-1.5,1,1,Mask mandates,On campus concealed carry,1,1,1,1,0,3,-3,1,2.5,4,4,,4,2.5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,1,2,2,1,1
32,PMM002-3-18,2,PMM002,3,18,3457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5,0.5,-0.5,-0.5,1,1,Dorms determined by gender identity,Bathrooms restricted based on biological sex,0,0,-1,1,0,3,-3,-1,4,3.5,4,,4,3.5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,1,3,1,3,1
33,PMM002-3-19,2,PMM002,3,19,2143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5,0.5,-0.5,-0.5,4,4,Dorms determined by gender identity,Physician-assisted suicide,0,0,1,1,5,3,0,-4,4,3.5,4,,4,3.5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,1,3,1,3,1
34,PMM002-3-2,2,PMM002,3,2,2578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,6,6,Mandatory training on sexual consent,Defund Planned Parenthood,1,1,1,6,0,0,-3,6,3.5,3.5,3.5,,3.5,3.5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,3,3,3,3
35,PMM002-3-20,2,PMM002,3,20,3296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-2,2,2,3,3,Gun-free campus police,Climate change legislation,0,0,1,3,6,0,-3,-3,2,4,4,,2,4,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,2,3,2,3,3
36,PMM002-3-22,2,PMM002,3,22,2430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,-2.5,-2.5,-2.5,4,4,Raise the minimum wage,Detention of migrant children,1,1,1,4,0,0,-3,4,2,4.5,4.5,,4.5,2,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,3,3,3,3
37,PMM002-3-23,2,PMM002,3,23,3587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,5,-5,Physician-assisted suicide,Defund Planned Parenthood,1,1,-1,5,0,3,-3,-5,3.5,3.5,3.5,,3.5,3.5,0,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,3,3,3,3
38,PMM002-3-4,2,PMM002,3,4,3677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-2,-2,-2,1,1,Mask mandates,Detention of migrant children,1,1,1,1,0,0,-3,1,2.5,4.5,4.5,,4.5,2.5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,2,2,3,3
39,PMM002-3-7,2,PMM002,3,7,2862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,1,-1,-1,5,5,Detention of migrant children,Physician-assisted suicide,0,0,1,0,5,3,0,-5,4.5,3.5,4.5,,4.5,3.5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,3,3,3,3
40,PMM002-3-8,2,PMM002,3,8,3160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-2,-2,2,3,-3,Allow alt-right speakers on campus,Mandatory drug tests for welfare recipients,1,1,1,3,6,0,-3,-3,1,3,3,,3,1,0,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,2,3,3,2,2
41,PMM002-4-1,2,PMM002,4,1,3163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,-2.5,-2.5,-2.5,2,2,Raise the minimum wage,Stop police brutality,1,1,-1,4,6,-2,-3,2,2,4.5,4.5,,4.5,2,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,3,3,3,3
42,PMM002-4-10,2,PMM002,4,10,2156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,-0.5,-0.5,0.5,1,-1,Physician-assisted suicide,Lift COVID lockdowns,1,1,1,5,6,3,-2,-1,3.5,4,4,,4,3.5,0,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,3,3,3,3
43,PMM002-4-11,2,PMM002,4,11,2329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5,0.5,-0.5,-0.5,6,6,Affirmative action,Detention of migrant children,0,0,-1,6,0,-2,-3,-6,5,4.5,5,,5,4.5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,4,3,4,3,4
44,PMM002-4-12,2,PMM002,4,12,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,2,2,2,1,1,Black Lives Matter,Mandatory vaccinations,1,1,1,6,5,3,2,1,4.5,2.5,4.5,,2.5,4.5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,4,3,3,4,3
45,PMM002-4-13,2,PMM002,4,13,2085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,-0.5,0.5,0.5,3,3,Defund the police,Detention of migrant children,0,0,-1,3,0,2,-2,-3,4,4.5,4.5,,4,4.5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,3,3,3,3
46,PMM002-4-14,2,PMM002,4,14,3073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,1,1,1,1,1,Raise the minimum wage,Allow alt-right speakers on campus,1,1,1,4,3,3,0,1,2,1,2,,1,2,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,3,3,3,3
47,PMM002-4-15,2,PMM002,4,15,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-2,-2,-2,5,5,Mandatory vaccinations,Detention of migrant children,1,1,1,5,0,1,-3,5,2.5,4.5,4.5,,4.5,2.5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,4,4,3,3
48,PMM002-4-16,2,PMM002,4,16,3893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-1,-1,1,3,-3,Mandatory drug tests for welfare recipients,Defund the police,1,1,-1,6,3,-2,3,-3,3,4,4,,4,3,0,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,2,2,3,3
49,PMM002-4-18,2,PMM002,4,18,3782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,-1.5,-1.5,-1.5,1,1,Mandatory vaccinations,Legalization of marijuana,1,1,-1,5,6,0,-2,1,2.5,4,4,,4,2.5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,4,4,3,3
50,PMM002-4-19,2,PMM002,4,19,3669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2,2,Defund the police,Dorms determined by gender identity,0,0,-1,3,1,2,0,-2,4,4,4,,4,4,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,1,3,1,1
51,PMM002-4-2,2,PMM002,4,2,2448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,3,3,3,2,2,Abolishing private prisons,Raise the minimum wage,1,1,1,6,4,2,-3,2,5,2,5,,2,5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,4,4,3,4
52,PMM002-4-20,2,PMM002,4,20,2813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,-0.5,0.5,0.5,1,1,Dorms determined by gender identity,Detention of migrant children,0,0,-1,1,0,3,2,-1,4,4.5,4.5,,4,4.5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,1,3,1,3,3
